//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-26-2020
//--  Time: 11:29
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 42200.0 Ohms
//--    Temperature1: 68.0(F), 	Resistance 1: 41500.0 Ohms 
//--    Temperature2: 122.0(F), 	Resistance 2: 11850.0 Ohms 
//--    Temperature3: 185.0(F), 	Resistance 3: 3500.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	393.86	3939 	0.024
6	376.53	3765 	0.029
7	362.39	3624 	0.034
8	350.49	3505 	0.039
9	340.26	3403 	0.044
10	331.30	3313 	0.049
11	323.36	3234 	0.054
12	316.22	3162 	0.059
13	309.77	3098 	0.063
14	303.87	3039 	0.068
15	298.45	2985 	0.073
16	293.45	2934 	0.078
17	288.80	2888 	0.083
18	284.46	2845 	0.088
19	280.39	2804 	0.093
20	276.57	2766 	0.098
21	272.96	2730 	0.103
22	269.55	2696 	0.107
23	266.32	2663 	0.112
24	263.25	2632 	0.117
25	260.32	2603 	0.122
26	257.52	2575 	0.127
27	254.85	2549 	0.132
28	252.29	2523 	0.137
29	249.83	2498 	0.142
30	247.47	2475 	0.146
31	245.20	2452 	0.151
32	243.01	2430 	0.156
33	240.90	2409 	0.161
34	238.86	2389 	0.166
35	236.89	2369 	0.171
36	234.98	2350 	0.176
37	233.13	2331 	0.181
38	231.34	2313 	0.186
39	229.60	2296 	0.190
40	227.91	2279 	0.195
41	226.27	2263 	0.200
42	224.67	2247 	0.205
43	223.12	2231 	0.210
44	221.61	2216 	0.215
45	220.13	2201 	0.220
46	218.69	2187 	0.225
47	217.29	2173 	0.229
48	215.92	2159 	0.234
49	214.58	2146 	0.239
50	213.28	2133 	0.244
51	212.00	2120 	0.249
52	210.75	2107 	0.254
53	209.52	2095 	0.259
54	208.33	2083 	0.264
55	207.15	2072 	0.269
56	206.00	2060 	0.273
57	204.88	2049 	0.278
58	203.77	2038 	0.283
59	202.69	2027 	0.288
60	201.62	2016 	0.293
61	200.58	2006 	0.298
62	199.56	1996 	0.303
63	198.55	1985 	0.308
64	197.56	1976 	0.313
65	196.59	1966 	0.317
66	195.63	1956 	0.322
67	194.69	1947 	0.327
68	193.77	1938 	0.332
69	192.86	1929 	0.337
70	191.96	1920 	0.342
71	191.08	1911 	0.347
72	190.22	1902 	0.352
73	189.36	1894 	0.356
74	188.52	1885 	0.361
75	187.69	1877 	0.366
76	186.87	1869 	0.371
77	186.07	1861 	0.376
78	185.27	1853 	0.381
79	184.49	1845 	0.386
80	183.72	1837 	0.391
81	182.96	1830 	0.396
82	182.21	1822 	0.400
83	181.46	1815 	0.405
84	180.73	1807 	0.410
85	180.01	1800 	0.415
86	179.30	1793 	0.420
87	178.59	1786 	0.425
88	177.90	1779 	0.430
89	177.21	1772 	0.435
90	176.53	1765 	0.439
91	175.86	1759 	0.444
92	175.20	1752 	0.449
93	174.54	1745 	0.454
94	173.89	1739 	0.459
95	173.25	1733 	0.464
96	172.62	1726 	0.469
97	171.99	1720 	0.474
98	171.37	1714 	0.479
99	170.76	1708 	0.483
100	170.15	1702 	0.488
101	169.56	1696 	0.493
102	168.96	1690 	0.498
103	168.38	1684 	0.503
104	167.79	1678 	0.508
105	167.22	1672 	0.513
106	166.65	1666 	0.518
107	166.09	1661 	0.522
108	165.53	1655 	0.527
109	164.98	1650 	0.532
110	164.43	1644 	0.537
111	163.89	1639 	0.542
112	163.35	1633 	0.547
113	162.82	1628 	0.552
114	162.29	1623 	0.557
115	161.77	1618 	0.562
116	161.25	1613 	0.566
117	160.74	1607 	0.571
118	160.23	1602 	0.576
119	159.73	1597 	0.581
120	159.23	1592 	0.586
121	158.73	1587 	0.591
122	158.24	1582 	0.596
123	157.75	1578 	0.601
124	157.27	1573 	0.605
125	156.79	1568 	0.610
126	156.32	1563 	0.615
127	155.85	1558 	0.620
128	155.38	1554 	0.625
129	154.92	1549 	0.630
130	154.46	1545 	0.635
131	154.00	1540 	0.640
132	153.55	1536 	0.645
133	153.10	1531 	0.649
134	152.66	1527 	0.654
135	152.22	1522 	0.659
136	151.78	1518 	0.664
137	151.34	1513 	0.669
138	150.91	1509 	0.674
139	150.48	1505 	0.679
140	150.06	1501 	0.684
141	149.63	1496 	0.688
142	149.21	1492 	0.693
143	148.80	1488 	0.698
144	148.38	1484 	0.703
145	147.97	1480 	0.708
146	147.57	1476 	0.713
147	147.16	1472 	0.718
148	146.76	1468 	0.723
149	146.36	1464 	0.728
150	145.96	1460 	0.732
151	145.57	1456 	0.737
152	145.18	1452 	0.742
153	144.79	1448 	0.747
154	144.40	1444 	0.752
155	144.02	1440 	0.757
156	143.64	1436 	0.762
157	143.26	1433 	0.767
158	142.88	1429 	0.771
159	142.51	1425 	0.776
160	142.14	1421 	0.781
161	141.77	1418 	0.786
162	141.40	1414 	0.791
163	141.03	1410 	0.796
164	140.67	1407 	0.801
165	140.31	1403 	0.806
166	139.95	1400 	0.811
